랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
56,소선당 1++ 한우 육사시미 300g,32900,17,,12,1,소선당한우,3500,육회용,기타,300g,,https://cr.shopping.naver.com/adcr.nhn?x=mWVL6l6Mgacd3k%2FmpzDrsf%2F%2F%2Fw%3D%3Dstz1akI8tT4x1VYkhUz6yQPon00Lj%2BXCro1kdZ%2B9L9vulYrSUWhHeV%2BWxNc3653Bt5723GDOEpkp49GiHNX%2BvOUls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyUTioX0F9fJ3OVnYnD12Sxh6iLuGsw9Rzq3%2FC5gTM6nZzSN2JVGcP3%2FheeB4WOubRWQK2dCuJ%2BtNn52Jxn%2FadEUuG%2FicFY3q9hGdjro9%2BnxQJZJW5930wdZ%2Fe%2B9Fa5yg81M2yndKEMEiihJSzp3DvvIFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu%2BHO9aOmAH9BadsAjZzAxPp4Kdo1h6xA5suRdPOqJn3gKIEPy9huh9JNuR6eleqJXv%2Fo5TWUaOjCzUkcfDcekwPwl3jd3pPo4GqE6AJEug0laYxxT52Am8JQUl0z0%2FBVzlHaekDTY2xxaYvedNxqARkVJgvuhJ5QIVmJ5ut7uIM53aheEY3LazpcSVX3RqEMhnzAcdHLf8R1bT%2FqK3%2Fhrcg4yydJKBzVFBofR2riQg7mZ%2FgaV3ORphs%2B%2BnVUIMroK5tDbZSwvA50mGvNE0d3ciLHICEQpPL7Rm%2B2fyhjEhHR&nvMid=83655480445&catId=50004654
57,1등급이상 한우 육회 육사시미 우둔 200g 소포장,16900,210,10,18,1,조은장터 정읍산외한우마을,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=hpwi785iuOhsXGIBuOWpQP%2F%2F%2Fw%3D%3DsYYJsBdVElut9%2FDJ1qqzuwJQY3kHicNlcRX9LCC2VFkClYrSUWhHeV%2BWxNc3653BtEIkKkS9RJnE7m%2FRlanCfOkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyUTioX0F9fJ3OVnYnD12Sxh6iLuGsw9Rzq3%2FC5gTM6nZzSN2JVGcP3%2FheeB4WOubRWQK2dCuJ%2BtNn52Jxn%2FadEUuG%2FicFY3q9hGdjro9%2BnxQr18RQ4xvNCCCqcrJMF9%2F6JxM978HFTwAgOEbINkGpkYJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27Ol3zqkeUnHu%2BPM7rQLLPKQ7hA1nro%2BkFyI63vQiXCD2SeekGqX3qbo28o%2FFTj%2Fpcqi6EPdythwfxnuZuXXztuO6gdNtttnUzZDM5QWRfi%2BP%2FCNRKRKJVLqzbSeUeDNqXravPBmWZNxvQdhbJ0h2bcaHttVGGe16Bw7snlZiC5Kk%2FzLP89LQOtfUZKHL2n7BojYUJAuUnDcDFW2jUu07sK1hqd%2FN8E2HM3qmeBN8l6dz6Qpp0BDcebgaSpxZ2ZwVh6wT%2BCJCBvL7arGB7Gs%2Fh%2Fk%2Brx%2BmQzo0MYaNYyTIR%2FxjAm79sDJrDafSiRXiqKJtFb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=13432716614&catId=50004654
58,김포1번가 투뿔한우 1++ 치마살 200g 명품한우 육회 육사시미 소고기 구이용 특수부위,44000,76,14,9,1,김포1번가 축산물도매시장,5000,"구이용, 육회용, 국거리용",양지,200g,,https://cr.shopping.naver.com/adcr.nhn?x=fcRSCDufCoTIRSJoG1Ti%2Bf%2F%2F%2Fw%3D%3DsqCt%2BERuJUMRpqNNIHENqNFjJ3nUdVjiYui9Q%2FwZmkqpTG8bhWYnXTnlfJjXd7Hc2IUbQkMnVoS4K0QjFMWDpnmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6CLZg%2B836fvR7S%2FYhR6nHLL2cjJNewpm0tMSoezPmZ2ySBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSenM%2FO1S%2B4yjGaAxo6LaFCn8rqk6KBYSNMN2R7iKDRp7%2BAbWnbEXzrP9nTOtX6d%2FrCNPqKCGbYH%2BGO8SGS1qnQnuNQk8TiH2C4CzRw9QznP3ceNScpJxl0yp5V2C7vvtz55LYVXQA87tvIRROfXkkQxvyMmXYVGdb%2Bf%2BIO%2FY3FKeVUcH3ofHsxMKZ2wFN2I6%2BJkkQVMFXPfKVxY%2Bdt53qbNihDFpm0QyaG7R80s2pxFm1bCZALcV1hEZjxambhSWfb1DcjUrlMo2Sh2w5suZdHnztHB6DZz6gx9a4QXFEr05lD%2B1GzYyCQAVsDO6ulMSblvsG%2Bt1WoUBmnm3DJjguoFKDxsmEL%2F12EA2%2FG6KJFTY0nSJ4NmWceAglMsEnlxMfx4KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=82159544323&catId=50004654
59,[마장동 온우]1++ 투뿔 마장동 한우 육사시미,21900,22,37,2,1,온우,3000,육회용,기타,300~500g,,https://cr.shopping.naver.com/adcr.nhn?x=gOOzUyHDHgt78EVrtO6%2Bxf%2F%2F%2Fw%3D%3DsfG5UYwaXftLnCOoDwvP5G7tQT5hrvLQaKdPOUx5Ly%2BBTG8bhWYnXTnlfJjXd7Hc2hvUyKeX9rFoGlBDXFCY7JmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6BauFou6XqHVWbZADh1MXsbT1l%2Bti2Rsl3Zu5vJ8mkW2CBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSejh3SAKExC6ylnGg0hJitPN9guHRkm%2B4ajge6M%2B5u%2FJOAbWnbEXzrP9nTOtX6d%2FrCGMp2TaNb21exctwDMMwUqHRBkKHdmgeBtXz9QaXffcq7%2BM3xNZAoAkfjnF3joqi4Yigy0E1uXqmbgXwdl6PLXsqkFGTTD5rCb6fwD%2BF8tOTj9Ro4cZZQ5bKYONMxrUFawNc%2Bk8KgGhid6gApkT3ZJbmXHKJPDTNc%2BhMhGl8vA5SOheCeTv6CdBtQMkM2FT78UQMYD75GVZw5CKy7Tc7HQMzkBy7QxExP92zXRwClMG3nLywBF6TPdyrHi5pSyQkVg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=83106116906&catId=50004654
60,[박판호순천한우] 한우 육회 육사시미 뭉티기,10900,2,,3,1,박판호순천한우,3000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=D0WxMvqrw9QyqpDWgJTgBP%2F%2F%2Fw%3D%3DssQs7mtLyL%2FddN%2BkG7lFSUfcQUYMGSMtmoUE38dXbbOdTG8bhWYnXTnlfJjXd7Hc2duWd%2BZkQHUHg%2FQiLF236Z2edW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6AOYZ%2BfIXAZX1YuSRx8xCrn2i2j%2FAxQbp8TDscv1xjDFCBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSemdAwdJ4wotKNyKUB1Hb4R46HxWPJFOxyUU9o2vvYoaQrXb%2B3d0QTOTIl2QL0uQODB0wJ0X09lMfA8J4%2FWrTLCDCgyt%2FXXfk08Hj1%2FizOSkEERZVR1KEo3piEAa1QluIVjo3hD7L5ciMMOuFetel68cuIP79n4D2MvVXABj9RocKBCOEPWGiz%2BE2Mpeg5lMaR2%2Fhn9XL7a1uG%2FJW7rlYmFlI1d8bd41qh29miHT8vLxHrBr0mWZyQNskAlQQa9x8QYNN2XuVT7EcCHaoOu0DfDEKyQPNaWTeTM7yluZMTPmKbh%2Buo%2B15okLzihDFOeZPnR0cjwVm1BUYVknE7IEMpz4%3D&nvMid=83583568791&catId=50004654
61,국내1% 투뿔나인 육사시미 생고기 대구 뭉티기 뭉텅이 우둔살 설깃살 설깃머리살 양념장제공,28900,7,12,11,1,질기지않소,3500,육회용,"우둔, 기타",300g,,https://cr.shopping.naver.com/adcr.nhn?x=8frZMLGxz2CAGcLa2qjea%2F%2F%2F%2Fw%3D%3DsVaeah%2F7VxEnHJvPn88Z6dQ5OdHJ6hnscBjWk1arwbpFTG8bhWYnXTnlfJjXd7Hc2ihvBZxCf5AN2Bz7l7WGnrmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6BauFou6XqHVWbZADh1MXsbVcH1r29sBgqEsTwF4Ms72iBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSekQy1d4TWfJLK9YJRayLsF5NI%2F7jut9kVbddhjINOHQrrXb%2B3d0QTOTIl2QL0uQODC7lYeYugAU1ZsX%2Bbd9uw6Tz1Werjwiku3mSOtmLiXhLRYOPK7%2Bawkcps9nfoVZ602%2F4z1b0L3EAwd1U4b63aXm%2BZAwU8%2BHY6Sg0OSJ4SIdwxJOgTasfdbL6ILnK7lxPepK6%2BnV95EV7Mnu0RS%2FOx8f3yyK502KCB9LpBZ9x0FDCkW5uUrRTGAvlvSF4uNjBXnQZgh9M8givbI8FnCtgEgEsTAgOr3bLVNyIa8%2FHaZwkgLEu19YYxUuLCGI6eDOvM8H5MJCLldeMmBtZPbgTeKGXJXxvsMI1DTsnX%2F%2FJycYHPV6OfTykkpTMKxku07UXnBAL405gbFvg7OlFkxi45OJB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=82954580401&catId=50004654
62,한우 육회 1등급 200g 소스포함 이유식 우둔살 뭉티기 육사시미,11300,185,193,57,1,한우공방,3000,육회용,"우둔, 기타",200g,1등급,https://cr.shopping.naver.com/adcr.nhn?x=nAuServ3mVhQE5u3ymt8F%2F%2F%2F%2Fw%3D%3DsN2rDJCcB3vZSYGmBG8CA6urJ4hkCPlbDH7Ib%2FWvvCeylYrSUWhHeV%2BWxNc3653BtMA3uV1cLocxCNPItGeT3oUls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyUTioX0F9fJ3OVnYnD12Sxh6iLuGsw9Rzq3%2FC5gTM6nZzSN2JVGcP3%2FheeB4WOubRWQK2dCuJ%2BtNn52Jxn%2FadEUuG%2FicFY3q9hGdjro9%2BnxSfCzYN%2BCDMimQXf71wx8JY1%2FPdlC7fSUkGSeSR%2F6CS1YFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu8d%2F3DJ510LelO1HP%2FLvQ4w21fLi3HoYAvFFoiY%2FA5uRKIEPy9huh9JNuR6eleqJXmdAm7ad3eNn7JT%2Bbia3CWS7cL4oGhdXvjOjRZlBE6rshWjDdxmF7rSPWJc74q2VSvGYkAsd8pQr%2Feog3GJlcGYBeSUXPk9BNcMcZsFI10W%2Ff2is2lhJQVXwzCQ7GaSbH%2BE6MOQ%2FjjK4hHCTBXkyr3Z1eYUlV5XuKbgsfBtaj8YvjWAffvRI6Yuxepgxu%2FmUj6vtUBvfoSsQPvEM6ZWUZToe9mScLwgAr6n0aTqRcZEdiL%2FT4k77TN713RpzPeVRrN39FVSm5Ku%2F9QBFC2%2FqWlyFbDf4gHI5rSMJU1BWcIOg&nvMid=83198153231&catId=50004654
63,함평나비골농협 한우 당일도축 생고기 육사시미 육회 300g,23800,149,,5,0,함평나비골농협한우,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=Gz8paIzKfuPURZ3qFGpiP%2F%2F%2F%2Fw%3D%3Dscvsp%2BTsYw8RyUK1dtimNnxsFSsi%2BbBrFhbJ5eu0aQxZTG8bhWYnXTnlfJjXd7Hc26ZjKCsZ3SB3yDDaAwL27DWedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0Ste%2BLLCb%2B5SIAsPgvUe4NPJ2kYTMimVL%2FjjTagU5pKKQdeBKz9mHGOxZb4fYAV3JreVx6Xz%2FdFw29pGZDMrOdu8B8haB%2BluCmecNMGgLUPxzLY4NpgRX10pWrVUbTj%2BOqTFdtIOf5JmC5lvI9xgK3MIIrhLTIiIaVweXrmORw7JePD9ANgvMbXhmC5ImpvwN10LxgTOEm61PEXvPpryQzw6auKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJfLpiB4V3ocHYftwJo%2Fn8PmYnN3MwwuO50tm2vkazB%2BXHvY%2FUzN94OzIr5wG3PfiA7PkWR%2BLibCNQI8LzPxFbkG9AY%2FS9H2ittXmAcMmguuZo8UuQiultpr1hPJtYFgSHlK7YbOrUqmnTXKo%2FKnIVhIDqm8oZwkszZMt9bXkaMdp8PetI5IMS3tk00Eio5fnec1d3WSiumkMiTs1tjoN2rqGgYnRsTBxbojhSd2BZIUE1NJgGiggBtPo0eCbCJz%2BrZTc3SRYJKEdTDi92W%2BhFhU3jnZbXxUVCbAWJv3mpgyY1cMV7lQpr8jz0bBxYFU%2ByV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=24071226637&catId=50004654
64,1등급 한우 소고기회 육회 육사시미 200g 당일도축 소고기 대구뭉티기,13900,31,65,37,1,모두의 레시피,3500,육회용,,200g,,https://cr.shopping.naver.com/adcr.nhn?x=18Iwpz36DsmMUMJ6NrHcKv%2F%2F%2Fw%3D%3DslQM6UJ7kcU3pc4lIFhwm3WGnl4GZyHbPqrX9jeuG9CSq2XnnOQAIvk72teFbS9xemHE79TF%2FFLoeS73lQRaqWZTZi3ymh%2B3X4bDnk53JaY2AbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPg%2B0SDasq%2FgMmDO7mt42t9ubPPTv3ebaEfMmTw2DEFaXGilccQWEEVz5ehJlA%2F5w6cVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NpREspuV9Gp0zHIIFkOKXuxg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FV2cYj30ty1BlRlPFECTCIokJ2nxRo9nr4bI8LBOuZJ%2FtqHtwa5toZRJGf%2FxebAOEm9ZxNzyEApM3OHPy7YhWQrN81WjUpxJVJrN5mDsz4Bp45M3IBHBnUA3kzPKmgc8z89hT3pq6xMA0%2FaLsLSRONEuIP79n4D2MvVXABj9RocKmv%2BiNtAU%2FDVus1Ye1flkS5IhINSG6ZkggrUckFDnC3DoDa6JS2e0Z6PN9tHhBYChkqsoeqC824EZ1MSEIIK6CBP7tqnT25W1lfWzkofLUtEP7UbNjIJABWwM7q6UxJuW%2F4SYw237xPjEMEiBlYbWPWxxnKYQE3udSaA%2B26%2Fw%2FoZvhRGVKZqwKSPuqKHH6VdZgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=84056060912&catId=50004654
65,당일도축 한우 육사시미 뭉티기 + 양념장 추가증정,12800,33,,0,0,돌쇠네농산물,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=eSGhY%2B2KUCt%2FnLfqg5kju%2F%2F%2F%2Fw%3D%3DsFC1uBBwtHKjsy3edouDsMhB%2FrhGqvzo1ZsANs6vXDgpTG8bhWYnXTnlfJjXd7Hc2y67c%2Fg0ZUhHcvcBXgMdWj2edW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0SteZXVgo8RqMpQcbcMg%2Bj6uoHOjIZ9IPiMxFI05e06bK0im2FbhFXv%2BkWtqO3hmlB3XJYLmb7BZxdLZRSnsSwqZoJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27%2FhDyiXZ86Jo%2BZEQ64BV62YSWwNu4LBbP21qmLJWST1gHDsd0Y2NjrUssEMfB7jkYZn8sEpFP3g3cswgJF9iNEg9Shqes%2Bdfqy9AY19OBewKPEHqbOa1nOK7hUQxWAWI8ClfvPUVCKVP9KeXum4qqBh2vAFil4bf48cQah4okz0x4RkzFGdVj6n%2F3DojOoGyF4%2BKHQsVXOV7qD9%2BjW53wjn5dvZWYKUdyUVeSsmBROZV7jmD19RYlfusW5NfrXoVs5hCxTtO0BEGFMovpO9PUU%2BbsjKyr4Leu95NsSaN%2FVVYlGJmoSugkQd9dIPWlTynwA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=32868110823&catId=50004654
66,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,19500,17,22,6,1,소문난정육점,3000,"수육,보쌈용, 육회용, 샤브샤브용",앞다리,,,https://cr.shopping.naver.com/adcr.nhn?x=6M2U7hOoPsX2u0NvsUA%2Bkf%2F%2F%2Fw%3D%3DsLZaVDFKDWKC6zoYLLhgBTiyJlzQ%2BS5R0c8LDW9fVjymq2XnnOQAIvk72teFbS9xenv3P7oGse6q8p%2BKUr35afUeJcUmqysBdh24t0UbvCtKAbCY81f975eS5nfR25FBiI1ODi9hUm3Sq0pLB9du%2BPg%2B0SDasq%2FgMmDO7mt42t9ubPPTv3ebaEfMmTw2DEFaXGilccQWEEVz5ehJlA%2F5w6cVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0Nt0drTa8jenoRMxUVpJ3h0Rg1bwUqDyCRdjOJQZPgXfaAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FeB2dQK1hyxvXJ1vGpnH4SFB5e503rwHX8Fbig8dfT%2FmtqHtwa5toZRJGf%2FxebAOElDjCxKd2HpH1WAGw2WJCQXN81WjUpxJVJrN5mDsz4Bpx2xf%2BSG8lZMqZbam7Za0bWqZME7IZgfreonzy1MJheaMwdi1XeMkbYAL3Upqn4cUuecw6VZFe1LcQUhoJqLIn5Bk%2BNqnUMDDciyKyFnNjjHa%2BYA3qSTf3syva6AD7roQdXmFJVeV7im4LHwbWo%2FGL%2Bkkttdv7ZaUnDgR0bp7H6ar7VAb36ErED7xDOmVlGU6EXS9JL6RYBLLcgZ2i9K1lFlj7HNzXwlTntj50Zj7XeYBU1WrDgcC7OOvKeiA5wBqDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=82751618618&catId=50004654
67,아빠가 준비한 고기 한우 육회 육사시미 생고기 우둔살 소스포함,10000,23,54,6,1,-아빠가 준비한 고기-,3500,육회용,우둔,150g,,https://cr.shopping.naver.com/adcr.nhn?x=dv9wAUPFkvTUWKZdUTLtaf%2F%2F%2Fw%3D%3DsVVA%2FTpSmzc5LhG5mgtsznJ7lbOs5ysT9LJjMBFdghOJTG8bhWYnXTnlfJjXd7Hc2zoFJKVyImTk4PovqElXcf2edW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6BauFou6XqHVWbZADh1MXsbWVlag2GJNfHA1%2F%2FOy7Wv7CBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeluWjn6FjpoZ4Xf7RUbfzTAOL6W9Mr258%2BJ9L7QxjiGIAbWnbEXzrP9nTOtX6d%2FrCJ29ruoLtediiojtlYPRIuteXs8JhKr1w%2FfTQog2lGikP4H6%2FhUKWMg8zGLY%2FCGv8LCoP6Lele3KWfdtqYFpIyUFfG2ule4ncAiWvPyhIxY%2Br%2F%2BkfbNzH%2F4DQnUIT1dsMPE4dBoQfhUTG1munbTEwUP84hG24j8fDBJbe6XnSXz7kRbu9R6BeWqi%2BOCD1YADg8TIYaVz88W%2FZxUn6lbQvXD5RLg3ayT8rsgjJC6QHcG%2F0ThGku%2FMkZBEYdOOwoS1SUQzmWgNhSFT9ZqSkXwixqBXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=83337318927&catId=50004654
68,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,22000,134,40,32,1,오가닉빅마트,4000,육회용,우둔,,,https://cr.shopping.naver.com/adcr.nhn?x=reJMj8H1NjGxKHadizK7RP%2F%2F%2Fw%3D%3DsWjN9qcmTgKlVVDVp7irlPVJRxioSDy8nig2uyqbnjplTG8bhWYnXTnlfJjXd7Hc2G754G2Yfc5WC%2B%2BfnHW2VLmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor1uQttTCbs58HTX%2BdUG79JDnnK7YwieUvGhEHKcNXV7jvMiCQri7FtNDfP6PSq0StYql7BVQGGn4vwT1M1%2F%2B8imFEV98CfAwi%2FgpsOD1fQ6CLZg%2B836fvR7S%2FYhR6nHLL3zr4sPtTKPg3RIQ7GsEI1CBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSep5EMopyHahZD10lXEv1YPxGZQG9Y9qQWmF4IW%2FbqB8uAbWnbEXzrP9nTOtX6d%2FrCB9BhgGmEq2Z%2B7LbAjgh3QnLmjQKs0S19%2FfIQif3ZM%2F%2F7vH8YHKMGgp4Pcl1UC5kZqyCnKV1dqby2nD7Ef82QyCMtsN6dn5fa0CnTNaZC0KtDURgBDcGGTE9UjxnCEw9ZX49RxzpHSzN8TeVlNwqPQy9ohuWG3FP2lEb1qVI4ciLXUeqPdsB%2B6T3UHJI3KfkgPlwDSmrjxDhe8laQ5YvXIY9XM9OvGyUcg%2BzMP9Vh77%2Bsp9UwcVwI5eGvYmQiknLYssRyzj9WbagrcD9mNxDDRWYznHQqCNYoQS%2BYDFXnjyxgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=82448118273&catId=50004654
69,[현덕축산] 국내산 육우 생고기 육사시미/육회 300g/술안주추천/육회소스,14440,190,,4,0,11번가,3500,,,,,https://cr.shopping.naver.com/adcr.nhn?x=wC93%2BrE7jr47X%2F7R1%2BSStf%2F%2F%2Fw%3D%3Ds4gprM5%2FCjkkqAYY6Goy%2FM5uP4uDYdUgzJa6Tn6k79q%2BlYrSUWhHeV%2BWxNc3653BtjCam%2FrOW9SemfuBZCoz1Kkls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyUTioX0F9fJ3OVnYnD12Sxh6iLuGsw9Rzq3%2FC5gTM6nZzSN2JVGcP3%2FheeB4WOubRyzexaJ8d8RCJ8Qe79joRC9VKLstGdfCbW1OHdYi%2FCc5qSKtCe6c9kJx2ECTMn2luA8U3woRRDj6WBSQCZHqZWsrxWqKDdJDWikzQVhnQJzoYxFr3JNQPIYR8kA2%2F7wrYGDVvBSoPIJF2M4lBk%2BBd9oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9hWdqA2nqiUE92Dfi%2F8w5L5LeHnG6aMcNxsMW0%2FXy9GIBtadsRfOs%2F2dM61fp3%2BsIYudMDEyzHxgsZywg%2BLiC9jhhVgJ7ryNinuen0TBHNqY4vjsGnwmAGvLUuh%2BEZNfRGIKtKqDxAB%2FSKdR0SJ6B5PiRSdgPdLImUPmf02diGrmu0yO7Bm5MD5Tkf%2FGu2dvnpE7nYIvYk5sNuHxIq0246OeCZrcNp0qW%2F7SDid0i2FNyAIV9z4ozXpgAcu6hgU9dH7HeOFlMrdhbGwmhLlkk%2FsKR3YKlD9qGAl6gX9HvZO7XwRT61h8vRp3ng%2B0%2Bgy9zKiRgTQw5FY7Z5NeWFj6cL1aFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=24292635049&catId=50004654
70,명품 숙성 암소한우 육사시미 300g,22900,17,,0,1,섬고기,4000,육회용,,300g,,https://cr.shopping.naver.com/adcr.nhn?x=1JDnYB7ewaDKCeRWFEdYh%2F%2F%2F%2Fw%3D%3DsWLNP5Bxo2L7RNTaLxHbW4JuvORTX6fKwbew%2BTuXrUTClYrSUWhHeV%2BWxNc3653BtBUaBbiCZzWhyrz%2F9ct%2BbpEls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyUTioX0F9fJ3OVnYnD12Sxh6iLuGsw9Rzq3%2FC5gTM6nZzSN2JVGcP3%2FheeB4WOubRWQK2dCuJ%2BtNn52Jxn%2FadEUuG%2FicFY3q9hGdjro9%2BnxSgGpPP2Lgx09S9ZQffStEQS8w7EcuTZyIi5eE2lqZwJIFvIg99pI98OS0oZ4Q2Wytr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu7KvUrDaLltRIbOe5icLr1QfKxVYTfozg2INd1pc7LHsKIEPy9huh9JNuR6eleqJXiRV51eA2%2BEtyZOo5SiGxAQ6bqeKgFtco6jppnYuIsSlkQuhww0tSGVcro4qPlcFzGNiXhDWklGGcQTpqCveoh%2F10swLyJrZEll3iBtj2B3JVLVk3JKOeoV9d%2Bna5VP0D8Kven0qyyvwHiJwPoyXtmd8xRn1ubxxyHVz4b8uiKfb6weHB1hMeF3NsHmBSieoo8dDcIZdSspyGJt7iCYhuOQ6HJZQgjI8VSlbO1R88zJ2DVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=82875999103&catId=50004654
