index,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,쇼핑몰,배송비,중량,100g당_가격,배송비포함_가격,100g당_배송비포함_가격,타입
31,5171622158.0,7,한우 암소 투플러스 우둔살 보섭살 육사시미 육회 뭉티기 한우생고기 1++,우둔살(육사시미)600g (+18000원),36000,886.0,1098.0,424,소문난정육점,3000,600,6000,39000,6500,2
32,4831500201.0,8,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g,20400,976.0,768.0,321,동인축산,4000,300,6800,24400,8134,2
33,4831500201.0,8,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미600g (+18100원) (품절),38500,976.0,768.0,321,동인축산,4000,600,6417,42500,7084,2
34,4831500201.0,8,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,한우육회300g (-2400원),18000,976.0,768.0,321,동인축산,4000,300,6000,22000,7334,1
35,4831500201.0,8,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g+육회300g (+11600원),32000,976.0,768.0,321,동인축산,4000,600,5334,36000,6000,3
36,,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 뭉티기 뭉티기 250g + 대구식 특제 양념장,20800,4093.0,1221.0,573,관문시장 김수현,4000,250,8320,24800,9920,2
37,,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 뭉티기 뭉티기 300g + 대구식 특제 양념장 (+2000원),22800,4093.0,1221.0,573,관문시장 김수현,4000,300,7600,26800,8934,2
38,,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 육회 육회 250g + 육회소스,20800,4093.0,1221.0,573,관문시장 김수현,4000,250,8320,24800,9920,1
39,,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 육회 육회 300g + 육회소스 (+2000원),22800,4093.0,1221.0,573,관문시장 김수현,4000,300,7600,26800,8934,1
40,5058972428.0,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 생고기(뭉티기) 120g-양념장포함,15900,1707.0,772.0,553,백년밥상,3500,120,13250,19400,16167,2
41,5058972428.0,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 생고기(뭉티기) 240g-양념장포함 (+13900원),29800,1707.0,772.0,553,백년밥상,3500,240,12417,33300,13875,2
42,5058972428.0,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 육회 120g-양념장포함,15900,1707.0,772.0,553,백년밥상,3500,120,13250,19400,16167,1
43,5058972428.0,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 육회 240g-양념장포함 (+13900원),29800,1707.0,772.0,553,백년밥상,3500,240,12417,33300,13875,1
44,4859807569.0,11,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 120g 양념장서비스,육사시미 120g 1인분(덩어리째),11700,2105.0,424.0,238,오가닉빅마트,4000,120,9750,15700,13084,2
45,4859807569.0,11,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 120g 양념장서비스,육회 120g 1인분(덩어리째) (+800원),12500,2105.0,424.0,238,오가닉빅마트,4000,120,10417,16500,13750,1
46,5763128946.0,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미250g+전용 양념장 (+7000원),23900,239.0,546.0,297,시장마트,4000,250,9560,27900,11160,2
47,5763128946.0,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미600g+전용 양념장 (+25100원),42000,239.0,546.0,297,시장마트,4000,600,7000,46000,7667,2
48,5763128946.0,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회300g+전용 양념장2개,16900,239.0,546.0,297,시장마트,4000,300,5634,20900,6967,1
49,5763128946.0,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회600g+전용 양념장2개 (+14000원),30900,239.0,546.0,297,시장마트,4000,600,5150,34900,5817,1
