index,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,쇼핑몰,배송비,중량,100g당_가격,배송비포함_가격,100g당_배송비포함_가격,타입
126,6929883547.0,44,당일도축 한우 육사시미 대구 뭉티기 생고기,육사시미 250g + 뭉티기양념 50g,23900,,,0,엄지네스토어,4000,300,7967,27900,9300,2
128,5305003766.0,46,뭉티기 육사시미 한우 대구 뭉태기 250g 600g 육회고기 육회용 거세소 장흥 마장동,한우 육사시미 250g 바로출고(오후2시전주문건기준) (+5000원),19900,77.0,58.0,37,싼재네마켓,4000,250,7960,23900,9560,2
129,5305003766.0,46,뭉티기 육사시미 한우 대구 뭉태기 250g 600g 육회고기 육회용 거세소 장흥 마장동,한우 육사시미 600g 바로출고(오후2시전주문건기준) (+26000원),40900,77.0,58.0,37,싼재네마켓,4000,600,6817,44900,7484,2
130,6315899112.0,47,한우 육사시미 뭉티기 국내산 채끝 살치살 치마살 꽃등심 갈비살 한우 선물세트,한우 육사시미(뭉티기) 300g,27900,52.0,1.0,34,참좋은 제주몰,0,300,9300,27900,9300,2
131,6315899112.0,47,한우 육사시미 뭉티기 국내산 채끝 살치살 치마살 꽃등심 갈비살 한우 선물세트,한우 육사시미(뭉티기) 600g (+17000원),44900,52.0,1.0,34,참좋은 제주몰,0,600,7484,44900,7484,2
132,5748056378.0,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육사시미+소스 300g,21600,28.0,41.0,23,그립소,3500,300,7200,25100,8367,2
133,5748056378.0,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육사시미+소스 400g (+6400원),28000,28.0,41.0,23,그립소,3500,400,7000,31500,7875,2
134,5748056378.0,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육회+소스 300g,21600,28.0,41.0,23,그립소,3500,300,7200,25100,8367,1
135,5748056378.0,48,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,육회+소스 400g (+6400원),28000,28.0,41.0,23,그립소,3500,400,7000,31500,7875,1
136,5305488640.0,51,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,150g (-9000원),15900,212.0,117.0,6,맛꾼푸드,3500,150,10600,19400,12934,0
137,5207096989.0,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육사시미300g,19500,17.0,20.0,6,소문난정육점,3000,300,6500,22500,7500,2
138,5207096989.0,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육사시미600g (+19500원),39000,17.0,20.0,6,소문난정육점,3000,600,6500,42000,7000,2
139,5207096989.0,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육회300g,19500,17.0,20.0,6,소문난정육점,3000,300,6500,22500,7500,1
140,5207096989.0,53,한우 암소 투플러스 홍두깨 300g 육회 육사시미 뭉티기 육전 이유식 1++,육회600g (+19500원),39000,17.0,20.0,6,소문난정육점,3000,600,6500,42000,7000,1
141,6989547260.0,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,한우 뭉티기250g (+2600원),17500,1.0,5.0,0,좋은사람들입니다,0,250,7000,17500,7000,2
142,6989547260.0,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,한우 뭉티기600g (+25100원) (품절),40000,1.0,5.0,0,좋은사람들입니다,0,600,6667,40000,6667,2
143,6989547260.0,55,한우 육사시미 뭉티기 고기 육회 생고기 뭉텅이,1등 육회300g,14900,1.0,5.0,0,좋은사람들입니다,0,300,4967,14900,4967,1
144,6941889455.0,57,마장동한우 뭉티기 육사시미 250g 투뿔한우,육사시미 250g,25900,,,0,위플러스온,3000,250,10360,28900,11560,2
145,6149150439.0,59,흑사시미 반근 진짜 프리미엄 뭉티기 흑사시미,없음,28300,1.0,1.0,3,바다에 빠진 산적,4000,300,9434,32300,10767,0
146,5522154297.0,61,육사시미 소스 뭉티기 우둔살 한우 대구,당일도축 한우 육사시미 250g+대구양념장,20000,3.0,3.0,10,율이네식탁,4000,250,8000,24000,9600,2
147,5522154297.0,61,육사시미 소스 뭉티기 우둔살 한우 대구,당일도축 한우 육사시미 600g+대구양념장 (+19500원),39500,3.0,3.0,10,율이네식탁,4000,600,6584,43500,7250,2
151,5785391114.0,68,마장동소고기 투뿔 한우 초신선 육사시미 뭉티기 소스 무료제공 500g,얇께썰기 서울당일배달,40000,19.0,40.0,0,허우적,4000,500,8000,44000,8800,0
152,5320859991.0,70,한우 육사시미(생고기뭉티기) 250g3개+소스3개 당일,없음,59000,2.0,,8,주식회사두드림,0,250,23600,59000,23600,0
153,6000298203.0,72,[미미캠핑]초신선 한우 뭉티기 300g,없음,27000,10.0,16.0,5,미미 상회,4000,300,9000,31000,10334,0
154,6943180790.0,74,대구 뭉티기 소고기 국거리 초기이유식 육회고기,한우육회 우둔살 300g (+7000원),29800,2.0,2.0,1,워커하이브,0,300,9934,29800,9934,1
155,6943180790.0,74,대구 뭉티기 소고기 국거리 초기이유식 육회고기,한우육회 우둔살 600g (+19200원),42000,2.0,2.0,1,워커하이브,0,600,7000,42000,7000,1
157,,78,1등급 한우 뭉티기 200g,없음,15900,23.0,,0,전국농부들,4000,200,7950,19900,9950,0
158,,80,(대정한우) 냉장 한우 뭉티기 200g[],없음,12250,18.0,,1,우체국쇼핑,3000,200,6125,15250,7625,0
