,key,상품번호,랭킹,상품명,옵션,가격,중량,복수 상품,타입,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,링크,100g당_가격,배송비포함_가격
10,11,6428994442.0,5,당일도축 대구뭉티기 한우 생고기 육사시미 육회,당일도축 뭉티기,20800,250,1,2,298,623.0,208,1,고기에 진심을 담다,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=OtPM6SEHttuqZ2rE1TZD%2FP%2F%2F%2Fw%3D%3DsSm2OKDPNPx1apPVx764WvfZKVOK0zjgffoMTGkQ3Fym%2BujfgJbNMB2WWL70VDrkex0156hrdM%2F0iNz6JDhMl8UgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7RCauOebZk2aB%2F8QEag%2FOUAcpK23jc9qUAcnKySGbW4KuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ437uUBDc6O73VUHHMHkoEbFAcs2YGt%2B0fqDmN%2Fla80JdrU9gBvTOY8XVxGgpGxxdGo9iR%2BXAfRkB7vpDJUHT5rRY5STkAQVD7u%2F1H1awl%2BVQ7hlhb3iYi773FU73S3wiT4vmDcvu4mzVHDJLNY3WhafYf10NgtxpT8D8C%2F9JRO9neV4fz3kUfUMpcgjOhpADQAAYTDwO3ZyMP57w1av4N7lQYypvSjGs8rtpGsnyBJe1VHZWACZkYB%2BShtw3Ut2ImMmlH3z9VGsmLHRI5O7b5aAX%2FnU7EkohJUdmsemyic0fJWEzW3lxdiDvmaqJ%2F31TPm2V2WLj0oLfvtXSAq9jPg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=83973494775&catId=50004654,8320,24800
11,12,6428994442.0,5,당일도축 대구뭉티기 한우 생고기 육사시미 육회,당일도축 육회,20800,250,1,1,298,623.0,208,1,고기에 진심을 담다,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=OtPM6SEHttuqZ2rE1TZD%2FP%2F%2F%2Fw%3D%3DsSm2OKDPNPx1apPVx764WvfZKVOK0zjgffoMTGkQ3Fym%2BujfgJbNMB2WWL70VDrkex0156hrdM%2F0iNz6JDhMl8UgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7RCauOebZk2aB%2F8QEag%2FOUAcpK23jc9qUAcnKySGbW4KuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ437uUBDc6O73VUHHMHkoEbFAcs2YGt%2B0fqDmN%2Fla80JdrU9gBvTOY8XVxGgpGxxdGo9iR%2BXAfRkB7vpDJUHT5rRY5STkAQVD7u%2F1H1awl%2BVQ7hlhb3iYi773FU73S3wiT4vmDcvu4mzVHDJLNY3WhafYf10NgtxpT8D8C%2F9JRO9neV4fz3kUfUMpcgjOhpADQAAYTDwO3ZyMP57w1av4N7lQYypvSjGs8rtpGsnyBJe1VHZWACZkYB%2BShtw3Ut2ImMmlH3z9VGsmLHRI5O7b5aAX%2FnU7EkohJUdmsemyic0fJWEzW3lxdiDvmaqJ%2F31TPm2V2WLj0oLfvtXSAq9jPg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=83973494775&catId=50004654,8320,24800
12,13,4762993608.0,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g,21800,250,2,2,7711,4267.0,1515,1,솔직한농부,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=5LyTAeJLmwjr5IAEg76ZQ%2F%2F%2F%2Fw%3D%3DsJBHLr7d4pBzkwFDHi58amdRlYQLbjpl09VsjUZXan3I2T%2B2I7vM1lywjaE2447yKaT3FrE5vDFgOX6FC5PLhCtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBt15IOTy1sR23WjK6GjYxEKRb9%2FdKWdDDlRsQ8zc08HRSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDevWYsCWU4zl6s8JFJL%2FcXZ0oWKO4xgv1GjfDdxdx1HemXDmIOOB6kamF9uF35YumKXuRu5MUCoYs%2BflMb5%2FAQmPEHqbOa1nOK7hUQxWAWI8W3AnHhA0mgJKfFmirC9a6ogT7Gwz9CQVIWTzL%2BH1gs9gx6r3svAVEEwCGOAqfdRcgDllAuSLx3TTmnmKCyWat7sXUKvkWFYKAODO%2FPg7oX8oBADA%2BrQTD50UZPWSs%2FVisYqbHZscwVOU%2FshHzPZiJ4OuAKV6RXG1Is03XJLviBeiIg2lro03ezBphzzIpqRbaNOf6kHVC23MWJUg6eEYQyoir07ou4tASdM8JdmN90vLVWGr8fvvH1mWvUgXPK6j&nvMid=82307515528&catId=50004654,8720,25800
13,14,4762993608.0,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 600g,45000,600,2,2,7711,4267.0,1515,1,솔직한농부,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=5LyTAeJLmwjr5IAEg76ZQ%2F%2F%2F%2Fw%3D%3DsJBHLr7d4pBzkwFDHi58amdRlYQLbjpl09VsjUZXan3I2T%2B2I7vM1lywjaE2447yKaT3FrE5vDFgOX6FC5PLhCtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBt15IOTy1sR23WjK6GjYxEKRb9%2FdKWdDDlRsQ8zc08HRSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDevWYsCWU4zl6s8JFJL%2FcXZ0oWKO4xgv1GjfDdxdx1HemXDmIOOB6kamF9uF35YumKXuRu5MUCoYs%2BflMb5%2FAQmPEHqbOa1nOK7hUQxWAWI8W3AnHhA0mgJKfFmirC9a6ogT7Gwz9CQVIWTzL%2BH1gs9gx6r3svAVEEwCGOAqfdRcgDllAuSLx3TTmnmKCyWat7sXUKvkWFYKAODO%2FPg7oX8oBADA%2BrQTD50UZPWSs%2FVisYqbHZscwVOU%2FshHzPZiJ4OuAKV6RXG1Is03XJLviBeiIg2lro03ezBphzzIpqRbaNOf6kHVC23MWJUg6eEYQyoir07ou4tASdM8JdmN90vLVWGr8fvvH1mWvUgXPK6j&nvMid=82307515528&catId=50004654,7500,49000
14,15,4762993608.0,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,육사시미 250g & 보리소육회300g,38000,550,2,3,7711,4267.0,1515,1,솔직한농부,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=5LyTAeJLmwjr5IAEg76ZQ%2F%2F%2F%2Fw%3D%3DsJBHLr7d4pBzkwFDHi58amdRlYQLbjpl09VsjUZXan3I2T%2B2I7vM1lywjaE2447yKaT3FrE5vDFgOX6FC5PLhCtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBt15IOTy1sR23WjK6GjYxEKRb9%2FdKWdDDlRsQ8zc08HRSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDevWYsCWU4zl6s8JFJL%2FcXZ0oWKO4xgv1GjfDdxdx1HemXDmIOOB6kamF9uF35YumKXuRu5MUCoYs%2BflMb5%2FAQmPEHqbOa1nOK7hUQxWAWI8W3AnHhA0mgJKfFmirC9a6ogT7Gwz9CQVIWTzL%2BH1gs9gx6r3svAVEEwCGOAqfdRcgDllAuSLx3TTmnmKCyWat7sXUKvkWFYKAODO%2FPg7oX8oBADA%2BrQTD50UZPWSs%2FVisYqbHZscwVOU%2FshHzPZiJ4OuAKV6RXG1Is03XJLviBeiIg2lro03ezBphzzIpqRbaNOf6kHVC23MWJUg6eEYQyoir07ou4tASdM8JdmN90vLVWGr8fvvH1mWvUgXPK6j&nvMid=82307515528&catId=50004654,6910,42000
15,16,4762993608.0,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,보리소육회300g,15200,300,2,1,7711,4267.0,1515,1,솔직한농부,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=5LyTAeJLmwjr5IAEg76ZQ%2F%2F%2F%2Fw%3D%3DsJBHLr7d4pBzkwFDHi58amdRlYQLbjpl09VsjUZXan3I2T%2B2I7vM1lywjaE2447yKaT3FrE5vDFgOX6FC5PLhCtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBt15IOTy1sR23WjK6GjYxEKRb9%2FdKWdDDlRsQ8zc08HRSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDevWYsCWU4zl6s8JFJL%2FcXZ0oWKO4xgv1GjfDdxdx1HemXDmIOOB6kamF9uF35YumKXuRu5MUCoYs%2BflMb5%2FAQmPEHqbOa1nOK7hUQxWAWI8W3AnHhA0mgJKfFmirC9a6ogT7Gwz9CQVIWTzL%2BH1gs9gx6r3svAVEEwCGOAqfdRcgDllAuSLx3TTmnmKCyWat7sXUKvkWFYKAODO%2FPg7oX8oBADA%2BrQTD50UZPWSs%2FVisYqbHZscwVOU%2FshHzPZiJ4OuAKV6RXG1Is03XJLviBeiIg2lro03ezBphzzIpqRbaNOf6kHVC23MWJUg6eEYQyoir07ou4tASdM8JdmN90vLVWGr8fvvH1mWvUgXPK6j&nvMid=82307515528&catId=50004654,5067,19200
16,17,4762993608.0,6,당일도축 대구뭉티기 한우육회 소고기 육회 생고기 육사시미 250g,한가득 실속세트 850g (구이+육사시미),56300,850,2,4,7711,4267.0,1515,1,솔직한농부,4000,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=5LyTAeJLmwjr5IAEg76ZQ%2F%2F%2F%2Fw%3D%3DsJBHLr7d4pBzkwFDHi58amdRlYQLbjpl09VsjUZXan3I2T%2B2I7vM1lywjaE2447yKaT3FrE5vDFgOX6FC5PLhCtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH1IMb0eCDV5o8bbDXTdzY%2Fxpqp%2B0wdpimvZXlhjs6FJANHxfV%2FsLga9%2BBw5h%2F0TGwy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBt15IOTy1sR23WjK6GjYxEKRb9%2FdKWdDDlRsQ8zc08HRSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDevWYsCWU4zl6s8JFJL%2FcXZ0oWKO4xgv1GjfDdxdx1HemXDmIOOB6kamF9uF35YumKXuRu5MUCoYs%2BflMb5%2FAQmPEHqbOa1nOK7hUQxWAWI8W3AnHhA0mgJKfFmirC9a6ogT7Gwz9CQVIWTzL%2BH1gs9gx6r3svAVEEwCGOAqfdRcgDllAuSLx3TTmnmKCyWat7sXUKvkWFYKAODO%2FPg7oX8oBADA%2BrQTD50UZPWSs%2FVisYqbHZscwVOU%2FshHzPZiJ4OuAKV6RXG1Is03XJLviBeiIg2lro03ezBphzzIpqRbaNOf6kHVC23MWJUg6eEYQyoir07ou4tASdM8JdmN90vLVWGr8fvvH1mWvUgXPK6j&nvMid=82307515528&catId=50004654,6624,60300
17,18,4831500201.0,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g,20400,300,1,2,967,806.0,321,1,동인축산,4000,육회용,,https://cr.shopping.naver.com/adcr.nhn?x=UA%2FZvwEvnSlr4oUJUKBWAP%2F%2F%2Fw%3D%3Dssh0TykpyjF1EgIAZDiJze%2FRNmQq8zWSZJVPxx2U423q%2BujfgJbNMB2WWL70VDrke3BQulwvgCduqnfwmzj5DUUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4G8IKVO8%2FB3aTa7PhX5WcmrMFYSLx01PlumjvpUWzzaKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ9aXffTw4LMZWciLZV2evev%2BB18jaH2hCMrl25R2qUFBdrU9gBvTOY8XVxGgpGxxdtzf00CJTU2RzhG8pCanZV2uyv%2Btriblh5u6JsXZjikZQ7hlhb3iYi773FU73S3wifRTWruFJUcC7OAWMmSFRVRhaG6wS%2B8efCE087E1gQMdTttfWUWVPa6E8lBnWex%2B2VqknwNAw1h7R9qtbHLOlH8Un59geVDK2A914K3ZcMix3ltPp9QnI0Bc6tPsRlADmRn6m6d%2BxUqeLTzki0SAFuLk9yx2LE4ozzid%2FD5Tsgrpy%2F6p3%2FHyEmE7HFWSK87qw%2BHA0%2B%2FksSHZkQlGJ7I5ajmlMcAqgJWYw5YV%2F9dfVsg7LVWGr8fvvH1mWvUgXPK6j&nvMid=82376023153&catId=50004654,6800,24400
18,19,4831500201.0,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미600g (+18100원),38500,600,1,2,967,806.0,321,1,동인축산,4000,육회용,,https://cr.shopping.naver.com/adcr.nhn?x=UA%2FZvwEvnSlr4oUJUKBWAP%2F%2F%2Fw%3D%3Dssh0TykpyjF1EgIAZDiJze%2FRNmQq8zWSZJVPxx2U423q%2BujfgJbNMB2WWL70VDrke3BQulwvgCduqnfwmzj5DUUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4G8IKVO8%2FB3aTa7PhX5WcmrMFYSLx01PlumjvpUWzzaKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ9aXffTw4LMZWciLZV2evev%2BB18jaH2hCMrl25R2qUFBdrU9gBvTOY8XVxGgpGxxdtzf00CJTU2RzhG8pCanZV2uyv%2Btriblh5u6JsXZjikZQ7hlhb3iYi773FU73S3wifRTWruFJUcC7OAWMmSFRVRhaG6wS%2B8efCE087E1gQMdTttfWUWVPa6E8lBnWex%2B2VqknwNAw1h7R9qtbHLOlH8Un59geVDK2A914K3ZcMix3ltPp9QnI0Bc6tPsRlADmRn6m6d%2BxUqeLTzki0SAFuLk9yx2LE4ozzid%2FD5Tsgrpy%2F6p3%2FHyEmE7HFWSK87qw%2BHA0%2B%2FksSHZkQlGJ7I5ajmlMcAqgJWYw5YV%2F9dfVsg7LVWGr8fvvH1mWvUgXPK6j&nvMid=82376023153&catId=50004654,6417,42500
19,20,4831500201.0,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,한우육회300g (-2400원),18000,300,1,1,967,806.0,321,1,동인축산,4000,육회용,,https://cr.shopping.naver.com/adcr.nhn?x=UA%2FZvwEvnSlr4oUJUKBWAP%2F%2F%2Fw%3D%3Dssh0TykpyjF1EgIAZDiJze%2FRNmQq8zWSZJVPxx2U423q%2BujfgJbNMB2WWL70VDrke3BQulwvgCduqnfwmzj5DUUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4G8IKVO8%2FB3aTa7PhX5WcmrMFYSLx01PlumjvpUWzzaKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ9aXffTw4LMZWciLZV2evev%2BB18jaH2hCMrl25R2qUFBdrU9gBvTOY8XVxGgpGxxdtzf00CJTU2RzhG8pCanZV2uyv%2Btriblh5u6JsXZjikZQ7hlhb3iYi773FU73S3wifRTWruFJUcC7OAWMmSFRVRhaG6wS%2B8efCE087E1gQMdTttfWUWVPa6E8lBnWex%2B2VqknwNAw1h7R9qtbHLOlH8Un59geVDK2A914K3ZcMix3ltPp9QnI0Bc6tPsRlADmRn6m6d%2BxUqeLTzki0SAFuLk9yx2LE4ozzid%2FD5Tsgrpy%2F6p3%2FHyEmE7HFWSK87qw%2BHA0%2B%2FksSHZkQlGJ7I5ajmlMcAqgJWYw5YV%2F9dfVsg7LVWGr8fvvH1mWvUgXPK6j&nvMid=82376023153&catId=50004654,6000,22000
20,21,4831500201.0,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g+육회300g (+11600원),32000,600,1,3,967,806.0,321,1,동인축산,4000,육회용,,https://cr.shopping.naver.com/adcr.nhn?x=UA%2FZvwEvnSlr4oUJUKBWAP%2F%2F%2Fw%3D%3Dssh0TykpyjF1EgIAZDiJze%2FRNmQq8zWSZJVPxx2U423q%2BujfgJbNMB2WWL70VDrke3BQulwvgCduqnfwmzj5DUUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4G8IKVO8%2FB3aTa7PhX5WcmrMFYSLx01PlumjvpUWzzaKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ9aXffTw4LMZWciLZV2evev%2BB18jaH2hCMrl25R2qUFBdrU9gBvTOY8XVxGgpGxxdtzf00CJTU2RzhG8pCanZV2uyv%2Btriblh5u6JsXZjikZQ7hlhb3iYi773FU73S3wifRTWruFJUcC7OAWMmSFRVRhaG6wS%2B8efCE087E1gQMdTttfWUWVPa6E8lBnWex%2B2VqknwNAw1h7R9qtbHLOlH8Un59geVDK2A914K3ZcMix3ltPp9QnI0Bc6tPsRlADmRn6m6d%2BxUqeLTzki0SAFuLk9yx2LE4ozzid%2FD5Tsgrpy%2F6p3%2FHyEmE7HFWSK87qw%2BHA0%2B%2FksSHZkQlGJ7I5ajmlMcAqgJWYw5YV%2F9dfVsg7LVWGr8fvvH1mWvUgXPK6j&nvMid=82376023153&catId=50004654,5334,36000
21,22,5704566837.0,8,한우 1등급 18종 꽃등심 새우살 살치살 육회 갈비살 등심 안심 채끝 차돌박이 국거리,1등급 한우 꾸리살 육회 300g,19800,300,2,1,2122,1675.0,344,1,건화한우다,3500,구이용,등심,https://cr.shopping.naver.com/adcr.nhn?x=IPFeRZuGnKQeNKqwoboipP%2F%2F%2Fw%3D%3Ds1Gj4uVyMSyAHFEsKvyhweWXjFw%2BwAuhBdEis3S%2FBs%2Bi%2BujfgJbNMB2WWL70VDrkemx4te%2FGBi22NLxSDl%2BiyBEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7g%2FKhkJV1Rrfa6b6r%2FPCcfYm4Mr0j6T8LCxlWeq3RrO6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJwJRTGcTM1x%2BHqqQi40xIlUr4AyjpaVppRlU7yqiQovXHvY%2FUzN94OzIr5wG3PfiAXAdKI3zfugb4M169YJNVEhKPmj9Dr9IiX37hZrkpz9Ewo2jS9qq%2BJoshJcECkywqd3IMz6kIdEnlhXXk2qoPWfpVaSEZhl6iiYYUh%2BZ1msgrcBGs5NX6pVd7qvswpQMK7fMCdmNykmSFO8lq%2F1j7RcOYoeP6BPcGlx8LXLG6I98hJtzOZZJUXcIPsaNq0LNEk67IrHJPXRhQPnW26xuLopS7GnzH4qIYsRD4W%2FbX9YeSGJT3hRfD9q1gp9uzVkaSQdiFzOnf%2FYSGrVlSH0UDo8gpHPGkxJik2tg9hBoDXtuzGaxlkDCP9pC965J2dM6PA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=83249064972&catId=50004654,6600,23300
22,23,5636794769.0,9,소고기 한우 등심 안심 채끝 국거리 불고기 육회 부채살 업진살 치마살 차돌박이 10종,육회200g (+3900원),13800,300,2,1,457,507.0,949,1,한우맘,3000,국거리용,"우둔, 앞다리, 설도, 사태",https://cr.shopping.naver.com/adcr.nhn?x=ag7KUZ2Eay2Zsp5EMkSpJf%2F%2F%2Fw%3D%3DsHrn65dOxh9h%2FzmA%2Bp%2F5MORQQ9ZLr5DEkhrpUP9jZyoy%2BujfgJbNMB2WWL70VDrke6EBJLuo9o%2B27qgDojpavU0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7OFe8RTS3pfzT0aXh%2FfzdnZ8K8RHO7hML5%2BN3mFmAaPquKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJe%2BXhwEFXqg7OBiu4Umb5mNQ0R0Wzjb96nzEVBMadms9drU9gBvTOY8XVxGgpGxxdfZN1%2BTJ%2BOVC0qbcO8LLcG4t%2FzqMArcA%2FZmYraSb6NmiDBGOWfRBo6wny6nX2eFUq%2Bw0vCyNYDoYp4odPlOF2Kgdr2uuljjo2LfZWNMg9c%2Fj1TyEGuZOsVVJ0%2FUiiJH1M1aLwrpjHd5P16tytx1cl6hDHAvrKhCA4dxy5w28b6DnjO%2F7rXtab%2FgcUyrKD7Kcu8ISUd87tQcqySsdUXGdxZGzVqShCL7tIx5KS6p3W2UWdGRc%2BCqBs4XgPWRJPr%2FaSLokYK24PXgaQJWqOaqY6%2FVFeYVs9qy2mGNeOF2GvU38LmKZn8STjbCerc3oo1JjMY7RBJx2aPv1bgiR77Jh46w1QmAmnoJRdq4K9btjkCM0%3D&nvMid=83181291643&catId=50004654,4600,16800
23,24,5736159428.0,10,도매/식당/업소용 마장동에서 오늘 썰은 육회/육사시미 2kg [국내산 소고기 냉장],[썰어서] 육회2kg (1kg씩 개별포장),59800,2000,1,1,443,999.0,224,1,소소한형제,0,육회용,우둔,https://cr.shopping.naver.com/adcr.nhn?x=7JxW6s%2Bx8ZK1Y3ctMuxPtP%2F%2F%2Fw%3D%3Dsd3H%2BZwRvPZK6H1v1%2FX291WJQ8WlM1kihWsZdBVjWPV2%2BujfgJbNMB2WWL70VDrkeUGCBpwS2k%2FrykU3Jw1ZLVUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rS02nEjFkSPMLfCdohqonos87NLpZFqkX2nDPJ%2FkelCaaDvGCRBGe8cE%2F25t4YNqrZrFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7%2FQtkUE1awMqhmnr9i1MXT%2B10G11UzHCt8fT%2B%2Fofe0qKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJHluu%2FfqxUfR5pE3Ns2Il0U6E7GDkJI2JlOhEn20x%2FvrHvY%2FUzN94OzIr5wG3PfiAoaFGh0CuQQsqrHA57dA9K1GHn3UE%2BWXXt%2FFAoyZnefz1OBZsS5DMy4viE7Hu4uL2Q%2BJlglifYnwldF%2FervRYaZ51%2F5cgIEW0LXbpVWtwwQxWrQUPWbfj5MowfL52a7K8rLxmuEvrzB08dqoWvhFgpJ%2FoBRPSBhnedtAj1INcRx%2B6wg%2FmZiUtmKkGyKom25juj3qtGpzeSigdH78YQeOvDv1gRkugYbqRjWQ4xlIMLFnOkzT5LB0McRgapzqJ2pXH2mUPxRWF7FUCp53u4CkwZJfp2WNdMLWScBRT0fHghvOuWt315tjnZd%2Bn7YxJ6YGDxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=83280658175&catId=50004654,2990,59800
24,25,5160233434.0,11,[성강한우] 육회 밀키트 1등급 한우육회 250g+비법소스40g세트 (오리지널/매콤),1등급 한우육회250g+오리지널비법소스40g,15900,250,0,1,273,,73,1,성강한우,4000,육회용,"우둔, 설도",https://cr.shopping.naver.com/adcr.nhn?x=QZ7IKtk8fheTl1IEYZCQyv%2F%2F%2Fw%3D%3DsTEN8O%2BnSCMKWHUXfKrapbAOS2FURqxPBalmlP2rXZjSZTSeCCyZLXyBwy0F4oD97FtEF3CuUDJR6GDZaj5CYhYBsJjzV%2F3vl5Lmd9HbkUGIjU4OL2FSbdKrSksH1274%2BvZ9q9meSl6MXD%2BGz%2FObfuf7UsJzQDw6YShmW%2Fku8jBd7tI3FnUq2y9Y8Ol8JVyWtxUiFRNirYnXAXhdwoPYA5aQ4Ddlq14b9jx4rHBfUTQ1c5WCr%2BSbxpLAAPVxONfpWGDVvBSoPIJF2M4lBk%2BBd9oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9U5SnTeIPUjg4F3AIqOnTX%2B4hdu5NwRtl5j5XtiWSQFsLsNgYjoVSktkl9sHJvmbCv59z8iRnoj1lNacrs5FuG3r8SR03dS3vENUenZEzkSZZn8iVg%2BNacpyMGCzI5RAeRryfrvvt44Tnr0dpKAZum%2B%2B8ig9m%2B%2FIXlZu5Vbzd7Pn2aEIFG9nfBa%2Br8m70vsTUzOBqZ7tgCeGK0DCuS%2Fhfsb8f5KkVnsRA1P3%2BTdXv7URb8Abq6qlNx%2B2DxiNNvVncrDDE3EevQBmtxVZv9u98unzAcdHLf8R1bT%2FqK3%2FhrchmdiiN5%2FRx4V04mqOZ8x2DE%2BcpXvQC835vPptLqDFeOtiu3SszZDNTrcdrrOsdrEDHICEQpPL7Rm%2B2fyhjEhHR&nvMid=82704754437&catId=50004654,6360,19900
