index,랭킹,상품명,옵션,가격,중량,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
37,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 뭉티기 뭉티기 300g + 대구식 특제 양념장 (+2000원),22800,300,2,4093,1221,573,관문시장 김수현,4000,7600,26800,8934
38,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 육회 육회 250g + 육회소스,20800,250,1,4093,1221,573,관문시장 김수현,4000,8320,24800,9920
39,9,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,당일도축 육회 육회 300g + 육회소스 (+2000원),22800,300,1,4093,1221,573,관문시장 김수현,4000,7600,26800,8934
40,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 생고기(뭉티기) 120g-양념장포함,15900,120,2,1707,772,553,백년밥상,3500,13250,19400,16167
41,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 생고기(뭉티기) 240g-양념장포함 (+13900원),29800,240,2,1707,772,553,백년밥상,3500,12417,33300,13875
42,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 육회 120g-양념장포함,15900,120,1,1707,772,553,백년밥상,3500,13250,19400,16167
43,10,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,한우 육회 240g-양념장포함 (+13900원),29800,240,1,1707,772,553,백년밥상,3500,12417,33300,13875
44,11,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 120g 양념장서비스,육사시미 120g 1인분(덩어리째),11700,120,2,2105,424,238,오가닉빅마트,4000,9750,15700,13084
45,11,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 120g 양념장서비스,육회 120g 1인분(덩어리째) (+800원),12500,120,1,2105,424,238,오가닉빅마트,4000,10417,16500,13750
46,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미250g+전용 양념장 (+7000원),23900,250,2,239,546,297,시장마트,4000,9560,27900,11160
47,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미600g+전용 양념장 (+25100원),42000,600,2,239,546,297,시장마트,4000,7000,46000,7667
48,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회300g+전용 양념장2개,16900,300,1,239,546,297,시장마트,4000,5634,20900,6967
49,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육회600g+전용 양념장2개 (+14000원),30900,600,1,239,546,297,시장마트,4000,5150,34900,5817
50,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미250g+육회300g+전용 양념장3개 (+19100원),36000,550,3,239,546,297,시장마트,4000,6546,40000,7273
51,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,14800,200,2,532,680,325,그립소,3500,7400,18300,9150
52,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,21600,300,2,532,680,325,그립소,3500,7200,25100,8367
53,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,28000,400,2,532,680,325,그립소,3500,7000,31500,7875
54,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,34000,500,2,532,680,325,그립소,3500,6800,37500,7500
55,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,39600,600,2,532,680,325,그립소,3500,6600,43100,7184
56,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,14800,200,1,532,680,325,그립소,3500,7400,18300,9150
57,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,21600,300,1,532,680,325,그립소,3500,7200,25100,8367
58,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,28000,400,1,532,680,325,그립소,3500,7000,31500,7875
59,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,34000,500,1,532,680,325,그립소,3500,6800,37500,7500
60,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,39600,600,1,532,680,325,그립소,3500,6600,43100,7184
61,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우뭉티기+육회,24000,300,3,532,680,325,그립소,3500,8000,27500,9167
62,14,초신선 당일도축 대구뭉티기 한우육회 소고기 육사시미 생고기 육회 250g 600g,육사시미250g(1-2인 추천) 오후3시 전까지 당일출고,25000,250,2,111,70,106,남도의식탁,4000,10000,29000,11600
63,14,초신선 당일도축 대구뭉티기 한우육회 소고기 육사시미 생고기 육회 250g 600g,육사시미600g(2-4인추천) 오후3시 전까지 당일출고 (+19000원),44000,600,2,111,70,106,남도의식탁,4000,7334,48000,8000
64,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미 250g + 양념장,19900,250,2,1481,898,126,바다베개,4000,7960,23900,9560
