,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
147,한우 뭉티기/육회/육사시미 600g+특제소스(당일도축),47220,43.0,,0,0,옥션,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=BOauz%2F3fjMdnv4dNWbI4gf%2F%2F%2Fw%3D%3DsFGafSpwyjxAliQNF3z4tlaBtsTETQgVPHbU5zosO90IIqpOW2PnYnvL%2BIpV9lPzXDRxXzq07Pjt4nyYB%2FMUklh4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZegP6Q%2BdTNGL4kWjre%2FkgdeJcED6SHuof75F25EGGuY%2FaLxyhUoBZHPPGG9Uk3m5ctJE2aSChyRD7VuZ7HkqwguZyeXQbjMMQythqyBje1TyrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqiTG0yQsh0HHdvVOwApDC3luxN1Lddv3Liony5nXhOP5%2FV36ogsAbT2GMBHUreotiQD57pM9O9yJmYA8bmybQMLaBEop9HkS7%2BQdPZVlFANgoB%2FVdgIToyqH%2Bxr0zjc87P3lY0rTNao77Kja495AVGV7YxhyghcNxkEmyX1NLz2Ll0NBWeEBAeLsjmD0wxT40BAT9GTnDafQUUPH5Pd5%2FjGvK52l%2Bywt7GP%2FPohDJW06ZOIYGBMY%2F%2Fl9rUZpfwtyjdnwJeXbnU6mZaLN%2BXPYoRZxIv2fHHHYSqUiKrdmkmFVGGZDxWT9Z49Kb4AMdZwmcgMcgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=31644043078&catId=50004654
148,[미미캠핑]초신선 한우 뭉티기 150g,13500,34.0,51.0,33,1,미미 상회,4000,육회용,우둔,150g,,https://cr.shopping.naver.com/adcr.nhn?x=q8030AV3zFvBirhbtx%2Fqsv%2F%2F%2Fw%3D%3Ds16H60oQDUYyJcUeeqY8ehh%2FHef%2FTWVwCLoxoVdGYFIEIqpOW2PnYnvL%2BIpV9lPzXCM6OgIOfdT9jhcNxo58UgR4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZki5AJjRPhHi8iwfvB10V0ua0O2TX7GIDZW3de8vjU8ykg37neLwDP0SIAEmL%2Flne8PxL6Q5wIbYBQp73w1Z3qN4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdHuvCujf5mow6uPxDEWBWbuaGRgEMkHufxXp5OKNGcZ8rXb%2B3d0QTOTIl2QL0uQODGznvkdShz%2BiYLPUjKwflkbCgyt%2FXXfk08Hj1%2FizOSkE%2BqG%2B2KvjLIsQoIVz%2BYtOho%2Fm6s0aMkEYCds1e5IbJ1oKbQy3SIsi1DA4yrGw%2B5xiIyua69jmOANIHkjDq8lBI3g4j2aMsbV3L872FaPeZdeQCU4rA9qEITJh30T6VqaOXIJa1iKYZfr%2Fweme%2F5fvh5VWSDdCeAx6Y6pHlZtW7wSwyg6C8hTd%2FWywK01bJpmhgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=83241880221&catId=50004654
149,대구 뭉티기 소고기 국거리 초기이유식 육회고기,22800,2.0,2.0,1,1,워커하이브,0,"국거리용, 육회용, 불고기용","우둔, 설도, 기타",국거리300g+다짐육300gg,1등급,https://cr.shopping.naver.com/adcr.nhn?x=3SuDPuh1S0CtGPzAoOrmnv%2F%2F%2Fw%3D%3Ds9uSCGchEgddbASYFP7TCzl6FL%2FgejiP0%2Fk%2FQeQ5TT%2B3VgDNrJ2WlzBl62rd8y%2BCyk%2BPH85%2BmWBjcESpbpaOTmEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7PKfkHiFiQimU%2FAk0twlGQnE2JNyW%2BkwltRGa4184AfIJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNqoX4hxGdvGOFRvU4Kqkk%2FBJ%2B9ZDSfYIB%2FAD8Wy3mPVUKIEPy9huh9JNuR6eleqJXlsAuIuwK0MtPKe8R7NfQuuzd3IstAEG8wQ9RIeft53HYy74NTfmVrv2cuNtUjoIipBclqJsdSta9zf7Og506GslQtZLZk6DEzxpqTtBw8A9sV98%2FffcsHLsIjqGGJ1NfvYlgifNZ0A7BnWMsc9BnRfa%2BtnujvI4UDU7TatgKHZAD%2B1GzYyCQAVsDO6ulMSblviuEfIES4tJEyF5glI%2FKwO1EtVLgUFHLi8n5hUqxMo6OpWkENyxcscfsJDD3q9nhg4SwcLvxUEucVmH%2BcOht40%3D&nvMid=84487681112&catId=50004654
150,대구 뭉티기 우둔살 250g 덩어리,19280,25.0,,0,0,11번가,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=EWr8PofEpy9FT4aBtZMJ7P%2F%2F%2Fw%3D%3Ds3tIh%2FWwGShAGwmVriSte6i%2F%2FgOVUrKhfDG0FMiyNuF%2FVgDNrJ2WlzBl62rd8y%2BCy2WlAvJcFLA%2Ffw8RdCNjyVkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BHzjT2Tdu2wQ64RvHuOGkC8PsMQLLZK4L2hMMBuC%2FVayjRMj4hZa6odNpRDZxIHnrU36VWc3oAlnIkBaZFcopyVkwmXKVccG%2BL72mXAJ7PO4runPf1a%2BixIagAihqjcE3MmvI%2BqwPnyDghmtDpfkM47ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADI3eev9oanbm%2BjoLn4w9xKLZLeHnG6aMcNxsMW0%2FXy9GIBtadsRfOs%2F2dM61fp3%2BsIFjiMJ31oPKM9dvRknVDLiwMv6uB1IgigQht2J%2Bp0FVoj64cDAfUTUk6WeHyGAMAM%2BuTHkqazTN4YMiVFSg4kTCd9qrTVZTIj%2B%2FZi9caDYEENIsLJi9rX%2BO7Wsgw4wwcYgW8mBXds5y7T%2FJIqjhlryxohtPjA9PZFWriSd2EhWtRCRiKJlDAGrJmu6TlJ0sw34X8yI8aB0NKmFgb9nJ6aWMtVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=32164560966&catId=50004654
151,1등급 한우 뭉티기 200g,15900,21.0,,0,0,전국농부들,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=xVu8ixQxwjXv%2FwpuLfb1C%2F%2F%2F%2Fw%3D%3Dsg3skmR%2Bo0uAepb0A8VCfFoy%2Bel7P2yvIEujTKtTn4WEA1UyhceycOwjr%2B6MqbEd%2Fi5TrBBdW0QwUHnhoHyucidof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuEP2aMIZkL8JIP3F05bA6B5FLVtug57d%2BI8Sm6eyAlZiR%2FM0iGLI%2F0OIqNACdrZN61%2FOhW0Cx6HlAOW6keNCbuPW6wo4ASEUYCABfOEW0eNEya8j6rA%2BfIOCGa0Ol%2BQzjueCfFDuywxl3T1PQ6PKMjF5qtMG%2FJ0PUtQjclakIAMivq6bUz%2Byg%2Bgvh3uR%2FFu8rFsejoSW%2BGsRs3XykcJfZAa12%2Ft3dEEzkyJdkC9LkDgwOaL7YiiUh82LAaZsULTZD1Orvjr%2FJh9jju6Hwa7fMMUFHq0VLpYRvMNroOZibBpeBdCYI%2FIxitS8u2GK7EgmJcIYf9e0fJRnD3%2Fo4hO2SNXwPPNbXEFE8agGCGcdAZstlNzdJFgkoR1MOL3Zb6EWFfYq0jO0K0fbThwnb4%2FsZqB91bNu4Xr%2FW1yYhc9AereJXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=31877854162&catId=50004654
152,(대정한우) 냉장 한우 뭉티기 200g[],12900,18.0,,1,0,우체국쇼핑,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=xm9ycAXwAoYvvgYqg23Nm%2F%2F%2F%2Fw%3D%3Dso1MbItfpV1IkFYoOxbDJ3drfqhZq7K5jpCi%2BZM1M1gQIqpOW2PnYnvL%2BIpV9lPzXIl0HMImIrZL9b622XO0T%2Fh4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZwe5Ucd1YRypL402yGC6VCL1aqnxM%2BwYeQfbJ7rV3HUnyaNTvylIY6GS9e36AnXDiElpsebS5lpYz5jo%2B6N%2F%2Bi83WfFZVuZMZMTNjyhRejbf%2BUPRwWmsatQ3o0JL5sbb%2BKkI805saRW1xsz6FJ%2FLR3tiz8PtDE5LWYJJDaHijsBvEht5cISuXRbJ%2BGtnpKTNI4oO2xjmhBwGZQ1h3l4AErDJXexUAODKFRtsA7s%2BeZ5ZdfDp9PuDk%2B%2BnTF9dtYLGeB7P9jx5KZr1oy9qstZx7m3cLW7DFEDtaO4lSnnaqt8HBZQt9L6CC%2FndQKhA%2FopR4u%2FaZDunUnivakt%2BfqGUOHIaIuadzvRqM49Yg0Wi0IwdOM42dunAZmODOp0CQYcUAFA7Ac9i7fIZ8Zss2%2Fj6gD1epy6hbZeXawvwJIghsIxG5q21VBD9YmIZQjQEboOZBPqejTICgSPNcgyb35TcruYKUeCPw0a9sLtDn88Y8hZKxSCTs4SLC2tiKyrumQ8ee2ZVWCwxCaZyPHBegjD0iFl83NAnt43Sc3O5M%2FU2DyF3SGPwNfo91cVHRmg%2BEHuXchWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=30839727099&catId=50004654
153,당일도축 한우 육사시미 대구 뭉티기 생고기,22800,,,0,0,11번가,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=0mWKF9qn4K19%2BKheJLA0If%2F%2F%2Fw%3D%3DsVM1n%2BLOemfJ9nuK3AZ%2FeUIfXrOr9HWGOmhl7E1d6D3wA1UyhceycOwjr%2B6MqbEd%2FKH6N35y1svSuYBuput2qc9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuGxd3hVxlaW2Uk70lY2wIiig9ytIgz3QyTUOOKkpdn9udMgxyjuDfJ4k2%2FBCM3o%2BYhNTfJDiX6KZP%2FMwSF4I%2BInAUk%2B6JcCUFyb7VKcGiTApUfSTNoBS36YGaIXBiyjtb3hqf%2FNOqFVE3keITMm8M8qTq%2FbD2MGowZHhNOyBhpCeUgj7JhipZW7dJJfFyMQl03QSS27iczXYIWJZFu2ZjLD9Fq909LmQaG5zEhxL%2FHOjqxm%2Fhxo99F%2BlS31s4%2B4lBffOmcfdnAt6IaB%2F89AXURo8Qeps5rWc4ruFRDFYBYjwKV%2B89RUIpU%2F0p5e6biqoGFeio8VgpsN2218yqoY2ZPfb9lcO9MOy5FdwB3c14AuBmMWv3A1X14gC%2BiupDHE97g73ba0ZtYhjotSX8rXzPGaZhyucrZ2zvAoFu%2BG%2F4G9rZlVYLDEJpnI8cF6CMPSIWH3QIE79AJDldgEbeg3rME9IY%2FA1%2Bj3VxUdGaD4Qe5dyFbDf4gHI5rSMJU1BWcIOg&nvMid=33821193346&catId=50004654
154,마장동한우 육회 뭉티기 육사시미 250g,25110,,,0,0,롯데ON,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=9RIhNktHWusmnTyuWKt3kf%2F%2F%2Fw%3D%3DslTPJp1NltxVS1lIeH57zkHXmjVCsDp54dXEOiCV%2FfEEIqpOW2PnYnvL%2BIpV9lPzXtcZF0Z%2Fqg%2Bpr%2F3RrtUzpKx4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZt4rUCDsC5ncUCmgbj1ugozQ55RQwPkcmmuvR%2BxOuokAK8dsKThzZg%2F3xSxIdMm4JDmJ6GFlQWEr%2Fj18UGLtH6CAQk4NpDQmAKg01Fo3MsmiHyF%2FcXbPMzd3fVfyiGv39EF9T%2FdcWeROaD3boxWeJLTq5a3x%2BqYCqsO9fBAkIVV%2BCdkNLSs8l1T3j%2BnuLqs816i%2FBZBr26f90Yr%2FltwV8l8OmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqPjt4Uo2p3JRdSRROGbfc7drWlMS0hx6GhVEgdkzohLIIWTGXiKtP69bp1LAqGTlkXI%2BUKYpCrcPtCp%2FbIeHe4MnKswblsQYJhklb17d9l%2BW1RcZFkm3mFqgkXKaQ64SJ9EN6are2Gg1anJnVj8bF42J604gvDcIcUYw0dooB9p%2FZ6Ef7WNLM8mLGSaCzKQhhCTSSDQMI3shmEEuc88p9pRX3quCp1QjBeqBp84xWalKPBimPDZwOttZjcrwUclZ9lolQtEThrFvQQdO09sPmtAr7LZQmjvgIOQhK3DT6DQ1oaKZHilHbuauHUigNM5KA&nvMid=33620193013&catId=50004654
155,마장동한우 뭉티기 육사시미 250g 투뿔한우,25110,,,0,0,롯데ON,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=NaSiAl8q6LZ3zJmobSLoRv%2F%2F%2Fw%3D%3Dsn2uYMOYEANJxxYaeodVLKnQ8bgUO9z6STWs4ZGw5khAA1UyhceycOwjr%2B6MqbEd%2Fb5hY278KeTzvBWfLOldge9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuMPcF0pmVJgjgsDA511Ett92rGo39q6mxgazkL%2FCti2rbixASQx0DESgkXZP7Lrf9HN1GxxfwrBhyOBn7glxKymh%2FqCed7YKMpDTVgYdHiyBdBVnP6%2FVfKu2Ig7%2FP3%2FSeW3lRsRhmZZpBYlMXDqp0qrYx3bUPU%2BrsjX%2BIONFS32cJ5yfuEU0QJwmm%2FmG7ch8bIG8bJGFVclwUgJDUYsiI5D9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6Yn0UFFWOK%2FSHzo6WhCNEYYQrY28Qz9ZELcGSevA7cAEBtadsRfOs%2F2dM61fp3%2BsIhOwCkqKHrpImV%2By%2BiUoBwV4VWEZN81%2Bsw9CQAFWtWP%2BTHNLlP6Md%2B9ibkR52vEHdi8tJOV7SLsqhAGYaF7wxYSjaPzszta73njcDmbLevhCGeslT3xUyTFa7xqubskLAYEzLOdnwEQj3zw0KC5%2BanrIdRYnEWffdCrPtkaOjJ%2BuPBimPDZwOttZjcrwUclZ9TgVbvdLjZ6rp4Gro0e%2BmJgr7LZQmjvgIOQhK3DT6DQ1oaKZHilHbuauHUigNM5KA&nvMid=33620214819&catId=50004654
156,마장동한우 육회 뭉티기 육사시미 250g,25900,,,0,0,11번가,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=4PSc0AFlBBpw8GnPmxExYv%2F%2F%2Fw%3D%3DsTfh%2FYNgXkimaOD18w7bGZKSf6M5UiUGPTfYhPbtQVujVgDNrJ2WlzBl62rd8y%2BCyIEztP%2BcdvetfXlk8VUpGlkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BHzjT2Tdu2wQ64RvHuOGkC8PsMQLLZK4L2hMMBuC%2FVayjRMj4hZa6odNpRDZxIHnrU36VWc3oAlnIkBaZFcopyWXMWpURILxLTAz%2Bj55vW48runPf1a%2BixIagAihqjcE3MmvI%2BqwPnyDghmtDpfkM47ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADIDwKAMRBHKcmheVwUgCBVX5LeHnG6aMcNxsMW0%2FXy9GIBtadsRfOs%2F2dM61fp3%2BsIU2nWiDTieyXZhlBmf%2B5KMV4VWEZN81%2Bsw9CQAFWtWP8fpXdkkvUBfWEEp3uaLfj6ixKd5d7s4UZ4qA1tNxwHR6jJjiWDTgqHzi7nIDGSm9t3ltPp9QnI0Bc6tPsRlADmtIXgnC18aCtdE04b6sUB%2FLk9yx2LE4ozzid%2FD5TsgrqcyA9YpztJCKNJnbiWluv6kqaPaoVCyJYsttmbAHbl4z5tldli49KC377V0gKvYz4NUJgJp6CUXauCvW7Y5AjN&nvMid=33619456149&catId=50004654
157,마장동한우 뭉티기 육사시미 250g 투뿔한우,25900,,,0,0,11번가,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=Fg7mL7hy4Scahb%2FljkP%2Bl%2F%2F%2F%2Fw%3D%3DscFGzQWPgOg9VLJ4%2BcyOIOc3zb09xZa0qR4pP%2FgssqZfVgDNrJ2WlzBl62rd8y%2BCyHBvSL2v1ij3qW1gAjPUSX0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BHzjT2Tdu2wQ64RvHuOGkC8PsMQLLZK4L2hMMBuC%2FVayjRMj4hZa6odNpRDZxIHnrU36VWc3oAlnIkBaZFcopyTOyDI6s%2F1wEJ15VrvEeUdcrunPf1a%2BixIagAihqjcE3MmvI%2BqwPnyDghmtDpfkM47ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADIAageFFI4ir4m4lhtwyevC5LeHnG6aMcNxsMW0%2FXy9GIBtadsRfOs%2F2dM61fp3%2BsIg8RgmGgXVQOHvpjPr7W6vl4VWEZN81%2Bsw9CQAFWtWP%2BTHNLlP6Md%2B9ibkR52vEHdi8tJOV7SLsqhAGYaF7wxYSjaPzszta73njcDmbLevhCGeslT3xUyTFa7xqubskLAdjUaM%2BCg6BIX%2FcygdwuJNf5qxitkYl7ME2RVV1hdPc3ZlVYLDEJpnI8cF6CMPSIW94VvHK%2BmJxl3Eb6ipvMeu9IY%2FA1%2Bj3VxUdGaD4Qe5dyFbDf4gHI5rSMJU1BWcIOg&nvMid=33619543829&catId=50004654
158,마장동한우 육회 뭉티기 육사시미 250g,25900,,,0,1,위플러스온,3000,육회용,우둔,250g,1++등급,https://cr.shopping.naver.com/adcr.nhn?x=ItmtnxOb%2F6%2F0tUiyLpmeLv%2F%2F%2Fw%3D%3Dsac38pAOd1xgqVHymZZJ6DRLPojuEWq4HfQ8uCkhJz7jVgDNrJ2WlzBl62rd8y%2BCyVxdUZXYCU0VMXKAANM1EAUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7txp6I7yzqKuhQYiCyUyR6WDsN4ssPn1y8dR9%2FxYDi24JFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtUz7SVgJbSIn%2BKDSueVwc7%2BL0CI1ZB0kAVMy4aXkq0%2BbKIEPy9huh9JNuR6eleqJXsL0JIY5s9%2FQr%2FOdKwGA2L3px68tg7qnnn84I0WHFUU96v%2FzIYHutKWw%2FLP3L4zrXELNaUJSOsvK%2BpARfCoOy4Bl07JLZ6BvOrv70Q9bOCKCQb2oj3XNNo7sXIxxp0SrIfIRFzZCyF3ypM4GzGlh1zWr7VAb36ErED7xDOmVlGU6plFnr5fPXGCI9k1Ae8bzWjs1VIafJ26nMSKoXjLNquTSGPwNfo91cVHRmg%2BEHuXchWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=84486534045&catId=50004654
159,"투뿔 한우 육회 육사시미 300g 뭉티기 육회맛집 냉장 캠핑고기 암소,거세,소고기",25400,26.0,16.0,8,1,승혜축산,4000,육회용,기타,,,https://cr.shopping.naver.com/adcr.nhn?x=7MHbwr9XNWb0n%2FzESO1H3f%2F%2F%2Fw%3D%3DsxFl4XaTtV98V0AV7CscAA4K7vxxiuOmO7uNuPRcfgNYIqpOW2PnYnvL%2BIpV9lPzXdaey207JdTDrsQwarNIz6h4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZki5AJjRPhHi8iwfvB10V0ua0O2TX7GIDZW3de8vjU8zAiQTgDWnBpnXM3AOkzcxDBo49XvDJ5g9QJ1YkEHXzhN4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdOBzAwuOAHqSheLP8JI5vUFEVHy76m6V9NBXSrTdtpH8rXb%2B3d0QTOTIl2QL0uQODB5LFu0LxeMLEp%2B2l8IdGWZ6PxIByHjzFTuLaljVPB7lR0tfanHOC4MGCIAP2j1fzlWfYZbjWImzFVzMowilShtAkYXpJ0h1Z8Z%2B1Eewa1PuiIXrn658aO3AVzhwN42bTjSRPAAGX4AqgrHTfO%2Bljx4nW2QHF6I2UtzPEnomb65fuGGXqJ4QymPi1gXJXRgLWpql6K%2BDiUH4UYIYBTJQHYhlolkiSyhqp8iDQXG7yE79ZAre6%2BxMr2obmfXrYhVyyFzGb4%2BuDnitJREaN71n%2BY1MMoEWkIGjioclK6YLL%2FwvnLywBF6TPdyrHi5pSyQkVg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=82977629355&catId=50004654
160,한우 육사시미 보리소 육회 세트 뭉티기 사시미,42900,,,0,0,옥션,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=Vbs7WMsP3amD%2FXlOmHiyWf%2F%2F%2Fw%3D%3DsNB32v%2FjsYuGUXkSITYA70d3Q30H%2Bh4fPxkyETJVwC%2BTVgDNrJ2WlzBl62rd8y%2BCywERuOlMerUE%2BziYGR9zb%2FEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BprwoL%2B%2FcFoflAJyoch%2BIAkC6VHW91V%2BffqqtO7AdAF3MdS%2FDlhKcYx1bLyOb%2B%2BnzxD%2FA6pIKnweNOvQXVhAQJFQD%2BfliXRCED8aVYNNd3narCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPJssfVCXT7%2BXbjKov3xzjQpJsMjkzJQg5CTYZ0R6ENxzr3hl1ddtdDEIo6lYANZaAwPDf22WhknMfe3LzRLVwxg%2BhVEYoTr1TSuvmq6LxRF2IapofMagewuGfsotKQHE6sHKGGws8kh0Mv9B%2F3VnB8tm9WP2FHdjvT70DF%2BzoTv0ayHdiQPruLy%2Fu8A%2FxhKB8qtIqidaNq0UEe6cHHc6DHtNZPg6UNYs0RDbNt%2FoRB%2BRfMBx0ct%2FxHVtP%2Borf%2BGtyPg5X2ScqvUMZ4yUwTy4Wflmt2U0QciO9a%2BXBvkH%2BWt6CXfdV3rRGB0TlDbnC56jv0HQIiXcF4qwUXZ2sX76wW8%3D&nvMid=32937493353&catId=50004654
161,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,21900,2842.0,2519.0,1119,1,아이러브농수산,4000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=K211VJuXfWSLkIan9xtnFP%2F%2F%2Fw%3D%3DsWLmIdL56A1OjdzhqwjSJILJsbVLH62HVsYwaz2KSrWXVgDNrJ2WlzBl62rd8y%2BCyttvtK3BrboxFIhv1JawoMEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7A1RurInzKCuM4WLX1lIKAkzit9Tas3tw6QnXEhDceIIJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtVJ%2B%2Fx7cGDlE5rOtR50dhvTU6cDyxmtiBEHU11qly491KIEPy9huh9JNuR6eleqJXiB%2FtrXDnGKRZjFoCqBU9iS7cL4oGhdXvjOjRZlBE6rsVvDFlVrJO3G75T6hZi8YuoqZKwBlEBcmc2d%2FSALsUAdmlZPMI50F0DVyAxAFQijHyJSMv8ylhooTbbiwCb5VhTxjJrIDY92iQA0j1NhAfpmhRynTZHN%2FOAHLTWCRWp%2B%2B5hCxTtO0BEGFMovpO9PUU5WJOmNj87qb55KzQvSJUNmpEX3UDkuedh%2BcrAluksb7uPVnaRe1RvvZ2tOQHxIFOoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=82631381835&catId=50004654
162,[당일도축] 대구뭉티기 육사시미 한우육회 뭉텅이,14900,152.0,296.0,297,1,성수동클래식,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=xPOBSczYoU6ph73ToJ4bHf%2F%2F%2Fw%3D%3DsWpddJ9RR538ipzyv%2Bz6xJ9dljimPYwqC8YNwTLkAhXPVgDNrJ2WlzBl62rd8y%2BCyUzGR6zYqP88X2%2Bed9d%2Fw9UbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6ZrGXMikx05idq9NOwC8NEFmzzBLRxqjxjjR1xSGuj0YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNpQfiS7OoAmr9rLLwIpdBPwQhOhFV9J%2Fe7a05hV3LUUIKIEPy9huh9JNuR6eleqJXn6KdgS84LRMgShjR4vOU7LSQJBUg%2B2Ms1jMl%2FafIbuUO0MiaVwe0imH8y%2BDxw4zgPRbMkrIpG9%2BTcX%2B86RXkZZ7TnmsP7jIcAhOT4mUxPXH8VBoCjctPwc5LE95zLCT4UG9qI91zTaO7FyMcadEqyEKuRYkjM4e4Ja%2BkYhixzj1q%2B1QG9%2BhKxA%2B8QzplZRlOkN6mpFfcSJgiTQ%2Fxk5Zjs4yVFddteNKUMAT3myna7jE8j%2Bss420ExlV20HIxzk1Lw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83718773113&catId=50004654
